0.00.679.183 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.679.188 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.679.191 W model has unused tensor blk.64.attn_q.weight (size = 43253760 bytes) -- ignoring
0.00.679.192 W model has unused tensor blk.64.attn_k.weight (size = 3604480 bytes) -- ignoring
0.00.679.193 W model has unused tensor blk.64.attn_v.weight (size = 3604480 bytes) -- ignoring
0.00.679.198 W model has unused tensor blk.64.attn_output.weight (size = 21626880 bytes) -- ignoring
0.00.679.199 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.679.201 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.679.202 W model has unused tensor blk.64.ffn_gate.weight (size = 61276160 bytes) -- ignoring
0.00.679.203 W model has unused tensor blk.64.ffn_down.weight (size = 61276160 bytes) -- ignoring
0.00.679.204 W model has unused tensor blk.64.ffn_up.weight (size = 61276160 bytes) -- ignoring
0.00.679.206 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 36044800 bytes) -- ignoring
0.00.679.208 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.679.209 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.679.213 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.01.629.248 I 
0.01.629.328 I system_info: n_threads = 16 (n_threads_batch = 16) / 32 | CUDA : ARCHS = 1200 | USE_GRAPHS = 1 | BLACKWELL_NATIVE_FP4 = 1 | CPU : SSE3 = 1 | SSSE3 = 1 | AVX = 1 | AVX_VNNI = 1 | AVX2 = 1 | F16C = 1 | FMA = 1 | BMI2 = 1 | AVX512 = 1 | AVX512_VBMI = 1 | AVX512_VNNI = 1 | AVX512_BF16 = 1 | LLAMAFILE = 1 | OPENMP = 1 | REPACK = 1 | 
0.01.632.957 I hellaswag_score : loaded 10042 tasks from prompt.
0.01.632.960 I ================================= is_spm = 0
0.01.632.961 I hellaswag_score : selecting 10042 randomized tasks.
0.04.304.506 I hellaswag_score : calculating hellaswag score over selected tasks.

task	acc_norm	95% confidence interval
135	81.48148148%	[74.0907%, 87.1302%]
136	81.61764706%	[74.2708%, 87.2274%]
137	81.75182482%	[74.4484%, 87.3231%]
138	81.88405797%	[74.6236%, 87.4175%]
139	82.01438849%	[74.7965%, 87.5104%]
140	82.14285714%	[74.9670%, 87.6019%]
141	81.56028369%	[74.3524%, 87.0941%]
142	81.69014085%	[74.5234%, 87.1874%]
143	81.81818182%	[74.6922%, 87.2794%]
144	81.94444444%	[74.8588%, 87.3701%]
145	82.06896552%	[75.0232%, 87.4594%]
146	82.19178082%	[75.1854%, 87.5475%]
147	82.31292517%	[75.3456%, 87.6344%]
148	82.43243243%	[75.5037%, 87.7201%]
149	82.55033557%	[75.6599%, 87.8046%]
150	82.66666667%	[75.8140%, 87.8879%]
151	82.11920530%	[75.2344%, 87.4103%]
152	82.23684211%	[75.3892%, 87.4953%]
153	82.35294118%	[75.5420%, 87.5791%]
154	81.81818182%	[74.9772%, 87.1104%]
155	81.93548387%	[75.1306%, 87.1957%]
156	82.05128205%	[75.2821%, 87.2799%]
157	82.16560510%	[75.4318%, 87.3630%]
158	82.27848101%	[75.5797%, 87.4450%]
159	82.38993711%	[75.7258%, 87.5259%]
160	82.50000000%	[75.8702%, 87.6058%]
161	82.60869565%	[76.0129%, 87.6847%]
162	82.71604938%	[76.1539%, 87.7626%]
163	82.82208589%	[76.2933%, 87.8395%]
164	82.92682927%	[76.4311%, 87.9154%]
165	83.03030303%	[76.5672%, 87.9904%]
166	83.13253012%	[76.7018%, 88.0644%]
167	83.23353293%	[76.8349%, 88.1376%]
168	83.33333333%	[76.9665%, 88.2099%]
169	83.43195266%	[77.0966%, 88.2813%]
170	83.52941176%	[77.2252%, 88.3518%]
171	83.62573099%	[77.3524%, 88.4215%]
172	83.13953488%	[76.8346%, 87.9966%]
173	83.23699422%	[76.9624%, 88.0676%]
174	83.33333333%	[77.0889%, 88.1377%]
175	83.42857143%	[77.2140%, 88.2071%]
176	83.52272727%	[77.3377%, 88.2756%]
177	83.61581921%	[77.4601%, 88.3434%]
178	83.70786517%	[77.5812%, 88.4103%]
179	83.79888268%	[77.7010%, 88.4765%]
180	83.88888889%	[77.8196%, 88.5420%]
181	83.97790055%	[77.9368%, 88.6067%]
182	84.06593407%	[78.0529%, 88.6707%]
183	84.15300546%	[78.1677%, 88.7339%]
184	84.23913043%	[78.2813%, 88.7965%]
185	84.32432432%	[78.3938%, 88.8584%]
186	84.40860215%	[78.5051%, 88.9196%]
187	83.95721925%	[78.0221%, 88.5253%]
188	84.04255319%	[78.1341%, 88.5877%]
189	84.12698413%	[78.2450%, 88.6493%]
190	84.21052632%	[78.3547%, 88.7104%]
191	84.29319372%	[78.4634%, 88.7708%]
192	84.37500000%	[78.5710%, 88.8305%]
193	83.93782383%	[78.1035%, 88.4475%]
194	84.02061856%	[78.2117%, 88.5084%]
195	84.10256410%	[78.3189%, 88.5686%]
196	84.18367347%	[78.4250%, 88.6282%]
197	84.26395939%	[78.5301%, 88.6871%]
198	83.83838384%	[78.0755%, 88.3132%]
199	83.91959799%	[78.1812%, 88.3732%]
200	83.50000000%	[77.7342%, 88.0031%]
201	83.08457711%	[77.2930%, 87.6353%]
202	83.16831683%	[77.4008%, 87.6979%]
203	83.25123153%	[77.5075%, 87.7598%]
204	82.84313725%	[77.0749%, 87.3973%]
205	82.43902439%	[76.6476%, 87.0371%]
206	82.52427184%	[76.7563%, 87.1014%]
207	82.60869565%	[76.8640%, 87.1652%]
208	82.69230769%	[76.9707%, 87.2283%]
209	82.77511962%	[77.0764%, 87.2908%]
210	82.85714286%	[77.1812%, 87.3526%]
211	82.93838863%	[77.2850%, 87.4139%]
212	82.54716981%	[76.8712%, 87.0646%]
213	82.62910798%	[76.9754%, 87.1267%]
214	82.24299065%	[76.5679%, 86.7809%]
215	81.86046512%	[76.1652%, 86.4372%]
216	81.94444444%	[76.2711%, 86.5014%]
217	82.02764977%	[76.3760%, 86.5651%]
218	82.11009174%	[76.4800%, 86.6281%]
219	82.19178082%	[76.5831%, 86.6905%]
220	82.27272727%	[76.6854%, 86.7524%]
221	82.35294118%	[76.7867%, 86.8137%]
222	81.98198198%	[76.3960%, 86.4800%]
223	82.06278027%	[76.4976%, 86.5420%]
224	82.14285714%	[76.5984%, 86.6034%]
225	82.22222222%	[76.6984%, 86.6643%]
226	82.30088496%	[76.7974%, 86.7246%]
227	82.37885463%	[76.8957%, 86.7844%]
228	82.45614035%	[76.9931%, 86.8436%]
229	82.53275109%	[77.0897%, 86.9024%]
230	82.60869565%	[77.1855%, 86.9606%]
231	82.68398268%	[77.2805%, 87.0182%]
232	82.75862069%	[77.3747%, 87.0754%]
233	82.83261803%	[77.4681%, 87.1321%]
234	82.47863248%	[77.0944%, 86.8137%]
235	82.55319149%	[77.1882%, 86.8710%]
236	82.62711864%	[77.2812%, 86.9279%]
