0.00.538.273 W model has unused tensor blk.64.attn_norm.weight (size = 20480 bytes) -- ignoring
0.00.538.280 W model has unused tensor blk.64.post_attention_norm.weight (size = 20480 bytes) -- ignoring
0.00.538.282 W model has unused tensor blk.64.attn_q.weight (size = 43253760 bytes) -- ignoring
0.00.538.284 W model has unused tensor blk.64.attn_k.weight (size = 3604480 bytes) -- ignoring
0.00.538.285 W model has unused tensor blk.64.attn_v.weight (size = 3604480 bytes) -- ignoring
0.00.538.289 W model has unused tensor blk.64.attn_output.weight (size = 21626880 bytes) -- ignoring
0.00.538.290 W model has unused tensor blk.64.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.00.538.292 W model has unused tensor blk.64.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.00.538.293 W model has unused tensor blk.64.ffn_gate.weight (size = 61276160 bytes) -- ignoring
0.00.538.294 W model has unused tensor blk.64.ffn_down.weight (size = 61276160 bytes) -- ignoring
0.00.538.296 W model has unused tensor blk.64.ffn_up.weight (size = 61276160 bytes) -- ignoring
0.00.538.298 W model has unused tensor blk.64.nextn.eh_proj.weight (size = 36044800 bytes) -- ignoring
0.00.538.300 W model has unused tensor blk.64.nextn.enorm.weight (size = 20480 bytes) -- ignoring
0.00.538.301 W model has unused tensor blk.64.nextn.hnorm.weight (size = 20480 bytes) -- ignoring
0.00.538.305 W model has unused tensor blk.64.nextn.shared_head_norm.weight (size = 20480 bytes) -- ignoring
0.03.420.728 I 
0.03.420.803 I system_info: n_threads = 16 (n_threads_batch = 16) / 32 | CUDA : ARCHS = 1200 | USE_GRAPHS = 1 | BLACKWELL_NATIVE_FP4 = 1 | CPU : SSE3 = 1 | SSSE3 = 1 | AVX = 1 | AVX_VNNI = 1 | AVX2 = 1 | F16C = 1 | FMA = 1 | BMI2 = 1 | AVX512 = 1 | AVX512_VBMI = 1 | AVX512_VNNI = 1 | AVX512_BF16 = 1 | LLAMAFILE = 1 | OPENMP = 1 | REPACK = 1 | 
0.03.425.106 I hellaswag_score : loaded 10042 tasks from prompt.
0.03.425.109 I ================================= is_spm = 0
0.03.425.110 I hellaswag_score : selecting 10042 randomized tasks.
0.06.084.609 I hellaswag_score : calculating hellaswag score over selected tasks.

task	acc_norm	95% confidence interval
1554	82.75418275%	[80.7957%, 84.5511%]
1555	82.76527331%	[80.8079%, 84.5611%]
1556	82.77634961%	[80.8201%, 84.5712%]
1557	82.72318561%	[80.7654%, 84.5199%]
1558	82.73427471%	[80.7776%, 84.5299%]
1559	82.74534958%	[80.7898%, 84.5399%]
1560	82.75641026%	[80.8020%, 84.5499%]
1561	82.76745676%	[80.8141%, 84.5599%]
1562	82.77848912%	[80.8262%, 84.5699%]
1563	82.78950736%	[80.8383%, 84.5799%]
1564	82.73657289%	[80.7839%, 84.5288%]
1565	82.68370607%	[80.7296%, 84.4778%]
1566	82.69476373%	[80.7417%, 84.4878%]
1567	82.70580728%	[80.7539%, 84.4978%]
1568	82.65306122%	[80.6997%, 84.4469%]
1569	82.66411727%	[80.7118%, 84.4569%]
1570	82.67515924%	[80.7239%, 84.4669%]
1571	82.68618714%	[80.7360%, 84.4769%]
1572	82.69720102%	[80.7481%, 84.4868%]
1573	82.70820089%	[80.7602%, 84.4968%]
1574	82.71918679%	[80.7723%, 84.5068%]
1575	82.73015873%	[80.7844%, 84.5167%]
1576	82.74111675%	[80.7964%, 84.5266%]
1577	82.75206088%	[80.8084%, 84.5365%]
1578	82.76299113%	[80.8204%, 84.5464%]
1579	82.77390754%	[80.8324%, 84.5563%]
1580	82.78481013%	[80.8444%, 84.5662%]
1581	82.79569892%	[80.8564%, 84.5760%]
1582	82.74336283%	[80.8026%, 84.5255%]
1583	82.75426406%	[80.8145%, 84.5354%]
1584	82.76515152%	[80.8265%, 84.5453%]
1585	82.77602524%	[80.8385%, 84.5551%]
1586	82.78688525%	[80.8504%, 84.5649%]
1587	82.73471960%	[80.7968%, 84.5146%]
1588	82.74559194%	[80.8087%, 84.5244%]
1589	82.75645060%	[80.8206%, 84.5343%]
1590	82.70440252%	[80.7671%, 84.4840%]
1591	82.71527341%	[80.7791%, 84.4939%]
1592	82.72613065%	[80.7910%, 84.5037%]
1593	82.67419962%	[80.7376%, 84.4536%]
1594	82.68506901%	[80.7496%, 84.4634%]
1595	82.69592476%	[80.7615%, 84.4733%]
1596	82.70676692%	[80.7734%, 84.4831%]
1597	82.71759549%	[80.7853%, 84.4929%]
1598	82.72841051%	[80.7972%, 84.5027%]
1599	82.73921201%	[80.8090%, 84.5125%]
1600	82.75000000%	[80.8209%, 84.5223%]
1601	82.76077452%	[80.8327%, 84.5320%]
1602	82.77153558%	[80.8445%, 84.5418%]
1603	82.71990019%	[80.7914%, 84.4919%]
1604	82.73067332%	[80.8033%, 84.5017%]
1605	82.74143302%	[80.8151%, 84.5114%]
1606	82.75217933%	[80.8269%, 84.5212%]
1607	82.76291226%	[80.8387%, 84.5309%]
1608	82.71144279%	[80.7858%, 84.4812%]
1609	82.72218769%	[80.7976%, 84.4909%]
1610	82.73291925%	[80.8093%, 84.5007%]
1611	82.74363749%	[80.8211%, 84.5104%]
1612	82.75434243%	[80.8329%, 84.5201%]
1613	82.70303782%	[80.7801%, 84.4705%]
1614	82.71375465%	[80.7919%, 84.4803%]
1615	82.72445820%	[80.8036%, 84.4900%]
1616	82.73514851%	[80.8154%, 84.4997%]
1617	82.74582560%	[80.8271%, 84.5093%]
1618	82.75648949%	[80.8388%, 84.5190%]
1619	82.76714021%	[80.8505%, 84.5287%]
1620	82.77777778%	[80.8622%, 84.5383%]
1621	82.78840222%	[80.8738%, 84.5480%]
1622	82.79901356%	[80.8855%, 84.5576%]
1623	82.74799754%	[80.8330%, 84.5083%]
1624	82.69704433%	[80.7807%, 84.4591%]
1625	82.70769231%	[80.7924%, 84.4687%]
1626	82.71832718%	[80.8040%, 84.4784%]
1627	82.72894899%	[80.8157%, 84.4880%]
1628	82.73955774%	[80.8273%, 84.4977%]
1629	82.75015347%	[80.8389%, 84.5073%]
1630	82.76073620%	[80.8506%, 84.5169%]
1631	82.77130595%	[80.8622%, 84.5264%]
1632	82.78186275%	[80.8737%, 84.5360%]
1633	82.79240661%	[80.8853%, 84.5456%]
1634	82.80293758%	[80.8969%, 84.5551%]
1635	82.81345566%	[80.9084%, 84.5647%]
1636	82.82396088%	[80.9199%, 84.5742%]
1637	82.77336591%	[80.8679%, 84.5253%]
1638	82.78388278%	[80.8795%, 84.5349%]
1639	82.79438682%	[80.8910%, 84.5444%]
1640	82.80487805%	[80.9025%, 84.5539%]
1641	82.81535649%	[80.9140%, 84.5634%]
1642	82.82582217%	[80.9255%, 84.5729%]
1643	82.77541083%	[80.8737%, 84.5242%]
1644	82.78588808%	[80.8852%, 84.5337%]
1645	82.79635258%	[80.8967%, 84.5432%]
1646	82.80680437%	[80.9081%, 84.5527%]
1647	82.75652702%	[80.8565%, 84.5042%]
1648	82.76699029%	[80.8679%, 84.5136%]
1649	82.77744087%	[80.8794%, 84.5231%]
1650	82.78787879%	[80.8908%, 84.5326%]
1651	82.79830406%	[80.9023%, 84.5421%]
1652	82.74818402%	[80.8508%, 84.4936%]
1653	82.75862069%	[80.8622%, 84.5031%]
1654	82.76904474%	[80.8736%, 84.5126%]
1655	82.71903323%	[80.8223%, 84.4643%]
1656	82.66908213%	[80.7710%, 84.4160%]
1657	82.67954134%	[80.7824%, 84.4255%]
1658	82.62967431%	[80.7312%, 84.3773%]
1659	82.64014467%	[80.7427%, 84.3868%]
1660	82.65060241%	[80.7541%, 84.3963%]
1661	82.66104756%	[80.7656%, 84.4058%]
1662	82.67148014%	[80.7770%, 84.4153%]
1663	82.68190018%	[80.7884%, 84.4247%]
1664	82.63221154%	[80.7374%, 84.3767%]
1665	82.64264264%	[80.7488%, 84.3862%]
1666	82.65306122%	[80.7602%, 84.3956%]
1667	82.60347930%	[80.7093%, 84.3477%]
1668	82.61390887%	[80.7207%, 84.3572%]
1669	82.62432594%	[80.7322%, 84.3667%]
1670	82.63473054%	[80.7436%, 84.3761%]
1671	82.64512268%	[80.7549%, 84.3856%]
1672	82.65550239%	[80.7663%, 84.3950%]
1673	82.66586970%	[80.7777%, 84.4044%]
1674	82.67622461%	[80.7890%, 84.4138%]
1675	82.62686567%	[80.7383%, 84.3661%]
1676	82.63723150%	[80.7497%, 84.3755%]
1677	82.64758497%	[80.7610%, 84.3849%]
1678	82.59833135%	[80.7104%, 84.3373%]
1679	82.60869565%	[80.7218%, 84.3467%]
1680	82.61904762%	[80.7331%, 84.3561%]
1681	82.62938727%	[80.7444%, 84.3655%]
1682	82.63971463%	[80.7558%, 84.3749%]
1683	82.65002971%	[80.7670%, 84.3843%]
1684	82.66033254%	[80.7783%, 84.3937%]
1685	82.67062315%	[80.7896%, 84.4030%]
1686	82.68090154%	[80.8009%, 84.4124%]
1687	82.69116775%	[80.8121%, 84.4217%]
1688	82.70142180%	[80.8233%, 84.4310%]
1689	82.71166371%	[80.8345%, 84.4403%]
1690	82.72189349%	[80.8458%, 84.4496%]
1691	82.73211118%	[80.8569%, 84.4589%]
1692	82.74231678%	[80.8681%, 84.4682%]
1693	82.75251034%	[80.8793%, 84.4774%]
1694	82.76269185%	[80.8904%, 84.4867%]
1695	82.77286136%	[80.9016%, 84.4959%]
1696	82.78301887%	[80.9127%, 84.5052%]
1697	82.79316441%	[80.9238%, 84.5144%]
1698	82.80329800%	[80.9349%, 84.5236%]
1699	82.81341966%	[80.9460%, 84.5328%]
1700	82.82352941%	[80.9571%, 84.5420%]
1701	82.83362728%	[80.9681%, 84.5512%]
1702	82.84371328%	[80.9792%, 84.5603%]
1703	82.85378743%	[80.9902%, 84.5695%]
1704	82.86384977%	[81.0012%, 84.5786%]
1705	82.87390029%	[81.0123%, 84.5877%]
1706	82.88393904%	[81.0232%, 84.5969%]
1707	82.83538371%	[80.9734%, 84.5499%]
1708	82.78688525%	[80.9236%, 84.5031%]
1709	82.79695728%	[80.9346%, 84.5122%]
1710	82.80701754%	[80.9456%, 84.5214%]
1711	82.81706604%	[80.9566%, 84.5305%]
1712	82.82710280%	[80.9676%, 84.5396%]
1713	82.83712785%	[80.9786%, 84.5487%]
1714	82.84714119%	[80.9895%, 84.5578%]
1715	82.79883382%	[80.9399%, 84.5111%]
1716	82.80885781%	[80.9509%, 84.5203%]
1717	82.81887012%	[80.9619%, 84.5294%]
1718	82.77066356%	[80.9123%, 84.4828%]
1719	82.78068645%	[80.9233%, 84.4919%]
1720	82.79069767%	[80.9343%, 84.5010%]
1721	82.80069727%	[80.9452%, 84.5101%]
1722	82.81068525%	[80.9562%, 84.5192%]
1723	82.82066164%	[80.9671%, 84.5282%]
1724	82.77262181%	[80.9177%, 84.4818%]
1725	82.78260870%	[80.9287%, 84.4909%]
1726	82.79258401%	[80.9396%, 84.4999%]
1727	82.80254777%	[80.9505%, 84.5090%]
1728	82.81250000%	[80.9614%, 84.5180%]
1729	82.82244072%	[80.9723%, 84.5271%]
1730	82.83236994%	[80.9831%, 84.5361%]
1731	82.84228769%	[80.9940%, 84.5451%]
1732	82.85219400%	[81.0048%, 84.5541%]
1733	82.80438546%	[80.9557%, 84.5079%]
1734	82.75663206%	[80.9067%, 84.4618%]
1735	82.76657061%	[80.9176%, 84.4708%]
1736	82.77649770%	[80.9284%, 84.4798%]
1737	82.78641336%	[80.9393%, 84.4888%]
1738	82.79631761%	[80.9501%, 84.4979%]
1739	82.74870615%	[80.9012%, 84.4518%]
1740	82.75862069%	[80.9121%, 84.4608%]
1741	82.71108558%	[80.8633%, 84.4149%]
1742	82.72101033%	[80.8741%, 84.4239%]
1743	82.73092369%	[80.8850%, 84.4329%]
1744	82.74082569%	[80.8958%, 84.4419%]
1745	82.75071633%	[80.9066%, 84.4509%]
1746	82.70332188%	[80.8580%, 84.4051%]
1747	82.71322267%	[80.8688%, 84.4141%]
1748	82.66590389%	[80.8202%, 84.3683%]
1749	82.67581475%	[80.8310%, 84.3774%]
1750	82.68571429%	[80.8419%, 84.3864%]
1751	82.69560251%	[80.8527%, 84.3954%]
1752	82.70547945%	[80.8635%, 84.4044%]
1753	82.71534512%	[80.8743%, 84.4134%]
1754	82.72519954%	[80.8850%, 84.4223%]
1755	82.73504274%	[80.8958%, 84.4313%]
1756	82.74487472%	[80.9066%, 84.4402%]
1757	82.75469550%	[80.9173%, 84.4492%]
1758	82.70762230%	[80.8690%, 84.4036%]
1759	82.71745310%	[80.8797%, 84.4126%]
1760	82.72727273%	[80.8905%, 84.4215%]
1761	82.73708120%	[80.9012%, 84.4305%]
1762	82.74687855%	[80.9119%, 84.4394%]
1763	82.69994328%	[80.8637%, 84.3940%]
1764	82.70975057%	[80.8744%, 84.4029%]
1765	82.71954674%	[80.8851%, 84.4118%]
1766	82.72933182%	[80.8958%, 84.4207%]
1767	82.73910583%	[80.9065%, 84.4296%]
1768	82.74886878%	[80.9172%, 84.4385%]
1769	82.75862069%	[80.9279%, 84.4474%]
1770	82.76836158%	[80.9385%, 84.4563%]
1771	82.77809147%	[80.9491%, 84.4652%]
1772	82.78781038%	[80.9598%, 84.4740%]
1773	82.74111675%	[80.9118%, 84.4288%]
1774	82.75084555%	[80.9225%, 84.4377%]
1775	82.76056338%	[80.9331%, 84.4465%]
1776	82.77027027%	[80.9437%, 84.4554%]
1777	82.77996624%	[80.9543%, 84.4642%]
1778	82.78965129%	[80.9649%, 84.4730%]
1779	82.79932546%	[80.9755%, 84.4819%]
1780	82.80898876%	[80.9860%, 84.4907%]
1781	82.81864121%	[80.9966%, 84.4994%]
1782	82.82828283%	[81.0071%, 84.5082%]
1783	82.78182838%	[80.9594%, 84.4633%]
1784	82.79147982%	[80.9700%, 84.4721%]
1785	82.80112045%	[80.9805%, 84.4809%]
1786	82.81075028%	[80.9910%, 84.4896%]
1787	82.82036933%	[81.0015%, 84.4984%]
1788	82.77404922%	[80.9540%, 84.4536%]
1789	82.78367803%	[80.9645%, 84.4624%]
1790	82.79329609%	[80.9750%, 84.4711%]
1791	82.74706868%	[80.9276%, 84.4264%]
1792	82.75669643%	[80.9381%, 84.4352%]
1793	82.76631344%	[80.9486%, 84.4439%]
1794	82.72017837%	[80.9012%, 84.3993%]
1795	82.72980501%	[80.9118%, 84.4081%]
1796	82.73942094%	[80.9223%, 84.4168%]
1797	82.74902615%	[80.9328%, 84.4256%]
1798	82.75862069%	[80.9432%, 84.4343%]
1799	82.76820456%	[80.9537%, 84.4431%]
1800	82.72222222%	[80.9065%, 84.3986%]
1801	82.73181566%	[80.9170%, 84.4073%]
1802	82.74139845%	[80.9275%, 84.4160%]
1803	82.75097060%	[80.9379%, 84.4248%]
1804	82.70509978%	[80.8908%, 84.3804%]
1805	82.71468144%	[80.9013%, 84.3891%]
1806	82.72425249%	[80.9118%, 84.3978%]
1807	82.73381295%	[80.9222%, 84.4066%]
1808	82.74336283%	[80.9326%, 84.4153%]
1809	82.75290216%	[80.9430%, 84.4240%]
1810	82.70718232%	[80.8961%, 84.3797%]
1811	82.71673109%	[80.9065%, 84.3884%]
1812	82.72626932%	[80.9170%, 84.3971%]
1813	82.73579702%	[80.9274%, 84.4058%]
1814	82.74531422%	[80.9378%, 84.4145%]
1815	82.75482094%	[80.9481%, 84.4231%]
1816	82.76431718%	[80.9585%, 84.4318%]
1817	82.77380297%	[80.9689%, 84.4405%]
1818	82.78327833%	[80.9792%, 84.4491%]
1819	82.79274327%	[80.9895%, 84.4577%]
1820	82.80219780%	[80.9999%, 84.4663%]
1821	82.81164195%	[81.0102%, 84.4750%]
1822	82.82107574%	[81.0205%, 84.4836%]
1823	82.83049918%	[81.0308%, 84.4921%]
1824	82.83991228%	[81.0411%, 84.5007%]
1825	82.84931507%	[81.0513%, 84.5093%]
1826	82.85870756%	[81.0616%, 84.5179%]
1827	82.86808976%	[81.0718%, 84.5264%]
1828	82.87746171%	[81.0821%, 84.5350%]
1829	82.88682340%	[81.0923%, 84.5435%]
1830	82.89617486%	[81.1025%, 84.5520%]
1831	82.90551611%	[81.1127%, 84.5605%]
1832	82.91484716%	[81.1229%, 84.5690%]
1833	82.92416803%	[81.1331%, 84.5775%]
1834	82.93347874%	[81.1433%, 84.5860%]
1835	82.94277929%	[81.1534%, 84.5945%]
1836	82.95206972%	[81.1636%, 84.6030%]
1837	82.96135003%	[81.1737%, 84.6114%]
1838	82.97062024%	[81.1838%, 84.6199%]
1839	82.97988037%	[81.1939%, 84.6283%]
1840	82.93478261%	[81.1476%, 84.5847%]
1841	82.94405215%	[81.1578%, 84.5931%]
1842	82.95331162%	[81.1679%, 84.6016%]
1843	82.96256104%	[81.1780%, 84.6100%]
1844	82.97180043%	[81.1881%, 84.6184%]
1845	82.92682927%	[81.1419%, 84.5749%]
1846	82.93607801%	[81.1520%, 84.5834%]
1847	82.94531673%	[81.1621%, 84.5918%]
1848	82.95454545%	[81.1722%, 84.6002%]
1849	82.96376420%	[81.1822%, 84.6086%]
1850	82.97297297%	[81.1923%, 84.6170%]
1851	82.98217180%	[81.2023%, 84.6254%]
1852	82.99136069%	[81.2124%, 84.6338%]
1853	82.94657312%	[81.1664%, 84.5904%]
1854	82.95577131%	[81.1764%, 84.5988%]
1855	82.96495957%	[81.1865%, 84.6072%]
1856	82.97413793%	[81.1965%, 84.6156%]
1857	82.98330641%	[81.2065%, 84.6239%]
1858	82.93864370%	[81.1606%, 84.5807%]
1859	82.94782141%	[81.1707%, 84.5891%]
1860	82.90322581%	[81.1249%, 84.5459%]
1861	82.91241268%	[81.1349%, 84.5543%]
1862	82.86788400%	[81.0892%, 84.5112%]
1863	82.87707998%	[81.0993%, 84.5196%]
1864	82.88626609%	[81.1093%, 84.5280%]
1865	82.89544236%	[81.1193%, 84.5364%]
1866	82.85101822%	[81.0737%, 84.4934%]
1867	82.86020354%	[81.0837%, 84.5017%]
1868	82.86937901%	[81.0937%, 84.5101%]
1869	82.87854468%	[81.1037%, 84.5185%]
1870	82.88770053%	[81.1137%, 84.5268%]
1871	82.89684661%	[81.1237%, 84.5352%]
1872	82.90598291%	[81.1337%, 84.5435%]
1873	82.91510945%	[81.1436%, 84.5518%]
1874	82.87086446%	[81.0982%, 84.5090%]
1875	82.88000000%	[81.1082%, 84.5174%]
1876	82.83582090%	[81.0629%, 84.4746%]
1877	82.79168887%	[81.0176%, 84.4319%]
1878	82.80085197%	[81.0276%, 84.4402%]
1879	82.81000532%	[81.0376%, 84.4486%]
1880	82.81914894%	[81.0475%, 84.4569%]
1881	82.82828283%	[81.0575%, 84.4653%]
1882	82.83740701%	[81.0674%, 84.4736%]
1883	82.84652151%	[81.0774%, 84.4819%]
1884	82.85562633%	[81.0873%, 84.4902%]
1885	82.86472149%	[81.0972%, 84.4985%]
1886	82.87380700%	[81.1071%, 84.5068%]
1887	82.88288288%	[81.1170%, 84.5151%]
1888	82.89194915%	[81.1269%, 84.5234%]
1889	82.90100582%	[81.1368%, 84.5317%]
1890	82.91005291%	[81.1467%, 84.5399%]
1891	82.91909043%	[81.1565%, 84.5482%]
1892	82.92811839%	[81.1664%, 84.5564%]
1893	82.93713682%	[81.1762%, 84.5647%]
1894	82.94614572%	[81.1860%, 84.5729%]
1895	82.95514512%	[81.1959%, 84.5811%]
1896	82.96413502%	[81.2057%, 84.5893%]
1897	82.97311545%	[81.2155%, 84.5975%]
1898	82.98208641%	[81.2252%, 84.6057%]
1899	82.99104792%	[81.2350%, 84.6139%]
1900	83.00000000%	[81.2448%, 84.6220%]
1901	82.95633877%	[81.2000%, 84.5798%]
1902	82.96529968%	[81.2097%, 84.5880%]
1903	82.97425118%	[81.2195%, 84.5961%]
1904	82.98319328%	[81.2293%, 84.6043%]
1905	82.99212598%	[81.2390%, 84.6125%]
1906	83.00104932%	[81.2487%, 84.6206%]
1907	83.00996329%	[81.2585%, 84.6287%]
1908	83.01886792%	[81.2682%, 84.6369%]
1909	83.02776323%	[81.2779%, 84.6450%]
1910	83.03664921%	[81.2876%, 84.6531%]
1911	83.04552590%	[81.2973%, 84.6612%]
1912	83.05439331%	[81.3069%, 84.6693%]
1913	83.06325144%	[81.3166%, 84.6774%]
1914	83.01985371%	[81.2720%, 84.6354%]
1915	83.02872063%	[81.2817%, 84.6435%]
1916	83.03757829%	[81.2914%, 84.6516%]
1917	83.04642671%	[81.3010%, 84.6596%]
1918	83.05526590%	[81.3107%, 84.6677%]
1919	83.06409588%	[81.3203%, 84.6758%]
1920	83.02083333%	[81.2759%, 84.6339%]
1921	83.02967205%	[81.2855%, 84.6420%]
1922	83.03850156%	[81.2952%, 84.6500%]
1923	83.04732189%	[81.3048%, 84.6581%]
1924	83.00415800%	[81.2605%, 84.6163%]
1925	83.01298701%	[81.2701%, 84.6244%]
1926	82.96988577%	[81.2259%, 84.5826%]
1927	82.97872340%	[81.2355%, 84.5907%]
1928	82.98755187%	[81.2451%, 84.5988%]
1929	82.99637118%	[81.2548%, 84.6068%]
1930	83.00518135%	[81.2644%, 84.6149%]
1931	83.01398239%	[81.2740%, 84.6229%]
1932	83.02277433%	[81.2835%, 84.6309%]
1933	83.03155717%	[81.2931%, 84.6390%]
1934	83.04033092%	[81.3027%, 84.6470%]
1935	83.04909561%	[81.3122%, 84.6550%]
1936	83.05785124%	[81.3218%, 84.6630%]
1937	83.06659783%	[81.3313%, 84.6710%]
1938	83.02373581%	[81.2873%, 84.6295%]
1939	83.03249097%	[81.2969%, 84.6375%]
1940	83.04123711%	[81.3064%, 84.6455%]
1941	83.04997424%	[81.3159%, 84.6535%]
1942	83.05870237%	[81.3255%, 84.6614%]
1943	83.06742151%	[81.3350%, 84.6694%]
1944	83.02469136%	[81.2911%, 84.6280%]
1945	83.03341902%	[81.3006%, 84.6360%]
1946	82.99075026%	[81.2568%, 84.5947%]
1947	82.99948639%	[81.2664%, 84.6027%]
1948	83.00821355%	[81.2759%, 84.6106%]
1949	83.01693176%	[81.2854%, 84.6186%]
1950	82.97435897%	[81.2417%, 84.5774%]
1951	82.98308560%	[81.2512%, 84.5853%]
1952	82.99180328%	[81.2607%, 84.5933%]
1953	83.00051203%	[81.2702%, 84.6013%]
1954	83.00921187%	[81.2797%, 84.6092%]
1955	83.01790281%	[81.2891%, 84.6172%]
1956	83.02658487%	[81.2986%, 84.6251%]
1957	83.03525805%	[81.3080%, 84.6330%]
1958	83.04392237%	[81.3175%, 84.6410%]
1959	83.05257785%	[81.3269%, 84.6489%]
1960	83.06122449%	[81.3363%, 84.6568%]
1961	83.01886792%	[81.2929%, 84.6158%]
1962	83.02752294%	[81.3023%, 84.6237%]
1963	83.03616913%	[81.3117%, 84.6316%]
1964	83.04480652%	[81.3211%, 84.6395%]
1965	83.05343511%	[81.3305%, 84.6474%]
1966	83.01119023%	[81.2872%, 84.6064%]
1967	82.96898831%	[81.2439%, 84.5656%]
1968	82.92682927%	[81.2006%, 84.5247%]
1969	82.93550025%	[81.2101%, 84.5326%]
1970	82.89340102%	[81.1669%, 84.4919%]
1971	82.90208016%	[81.1764%, 84.4998%]
1972	82.91075051%	[81.1858%, 84.5077%]
1973	82.91941206%	[81.1952%, 84.5157%]
1974	82.92806484%	[81.2046%, 84.5236%]
1975	82.93670886%	[81.2141%, 84.5315%]
1976	82.94534413%	[81.2235%, 84.5394%]
1977	82.95397066%	[81.2329%, 84.5473%]
1978	82.96258847%	[81.2422%, 84.5552%]
1979	82.97119757%	[81.2516%, 84.5630%]
1980	82.97979798%	[81.2610%, 84.5709%]
1981	82.98838970%	[81.2703%, 84.5788%]
1982	82.99697275%	[81.2797%, 84.5866%]
1983	83.00554715%	[81.2890%, 84.5944%]
1984	83.01411290%	[81.2983%, 84.6023%]
1985	82.97229219%	[81.2554%, 84.5618%]
1986	82.98086606%	[81.2648%, 84.5696%]
1987	82.98943130%	[81.2741%, 84.5774%]
1988	82.99798793%	[81.2834%, 84.5853%]
1989	83.00653595%	[81.2927%, 84.5931%]
1990	83.01507538%	[81.3020%, 84.6009%]
1991	83.02360623%	[81.3113%, 84.6087%]
1992	82.98192771%	[81.2686%, 84.5683%]
1993	82.99046663%	[81.2779%, 84.5761%]
1994	82.94884654%	[81.2352%, 84.5358%]
1995	82.95739348%	[81.2445%, 84.5436%]
1996	82.96593186%	[81.2538%, 84.5515%]
1997	82.92438658%	[81.2112%, 84.5112%]
1998	82.93293293%	[81.2205%, 84.5190%]
1999	82.94147074%	[81.2297%, 84.5268%]
2000	82.95000000%	[81.2390%, 84.5346%]
2001	82.95852074%	[81.2483%, 84.5424%]
2002	82.96703297%	[81.2576%, 84.5502%]
2003	82.97553669%	[81.2668%, 84.5580%]
2004	82.98403194%	[81.2761%, 84.5658%]
2005	82.99251870%	[81.2853%, 84.5736%]
2006	82.95114656%	[81.2429%, 84.5335%]
2007	82.95964126%	[81.2521%, 84.5412%]
2008	82.96812749%	[81.2613%, 84.5490%]
2009	82.92682927%	[81.2190%, 84.5090%]
2010	82.88557214%	[81.1767%, 84.4690%]
2011	82.89408255%	[81.1859%, 84.4768%]
2012	82.90258449%	[81.1952%, 84.4846%]
2013	82.91107799%	[81.2044%, 84.4924%]
2014	82.86991063%	[81.1622%, 84.4525%]
2015	82.87841191%	[81.1715%, 84.4602%]
2016	82.88690476%	[81.1807%, 84.4680%]
2017	82.89538919%	[81.1899%, 84.4758%]
2018	82.90386521%	[81.1991%, 84.4835%]
2019	82.91233284%	[81.2084%, 84.4913%]
2020	82.92079208%	[81.2176%, 84.4990%]
2021	82.92924295%	[81.2268%, 84.5068%]
2022	82.93768546%	[81.2359%, 84.5145%]
2023	82.94611962%	[81.2451%, 84.5222%]
2024	82.95454545%	[81.2543%, 84.5300%]
2025	82.96296296%	[81.2634%, 84.5377%]
2026	82.97137216%	[81.2726%, 84.5454%]
2027	82.93043907%	[81.2306%, 84.5057%]
2028	82.93885602%	[81.2398%, 84.5134%]
2029	82.94726466%	[81.2489%, 84.5211%]
2030	82.95566502%	[81.2580%, 84.5288%]
2031	82.96405711%	[81.2672%, 84.5365%]
2032	82.97244094%	[81.2763%, 84.5442%]
2033	82.98081653%	[81.2854%, 84.5518%]
2034	82.98918387%	[81.2945%, 84.5595%]
2035	82.99754300%	[81.3036%, 84.5671%]
2036	83.00589391%	[81.3127%, 84.5748%]
2037	83.01423662%	[81.3218%, 84.5824%]
2038	83.02257115%	[81.3308%, 84.5901%]
2039	83.03089750%	[81.3399%, 84.5977%]
2040	83.03921569%	[81.3489%, 84.6053%]
2041	83.04752572%	[81.3580%, 84.6129%]
2042	83.05582762%	[81.3670%, 84.6205%]
2043	83.01517376%	[81.3253%, 84.5811%]
2044	82.97455969%	[81.2837%, 84.5418%]
2045	82.98288509%	[81.2927%, 84.5494%]
2046	82.99120235%	[81.3018%, 84.5570%]
2047	82.99951148%	[81.3108%, 84.5646%]
2048	83.00781250%	[81.3198%, 84.5722%]
2049	83.01610542%	[81.3288%, 84.5798%]
2050	83.02439024%	[81.3378%, 84.5874%]
2051	82.98391029%	[81.2963%, 84.5482%]
2052	82.99220273%	[81.3053%, 84.5558%]
2053	83.00048709%	[81.3144%, 84.5634%]
2054	83.00876339%	[81.3234%, 84.5709%]
2055	82.96836983%	[81.2819%, 84.5318%]
2056	82.97665370%	[81.2909%, 84.5394%]
2057	82.98492951%	[81.2999%, 84.5470%]
2058	82.99319728%	[81.3089%, 84.5545%]
2059	82.95288975%	[81.2676%, 84.5155%]
2060	82.96116505%	[81.2766%, 84.5230%]
2061	82.96943231%	[81.2856%, 84.5306%]
2062	82.97769156%	[81.2946%, 84.5382%]
2063	82.98594280%	[81.3035%, 84.5457%]
2064	82.99418605%	[81.3125%, 84.5533%]
2065	82.95399516%	[81.2713%, 84.5143%]
2066	82.96224589%	[81.2802%, 84.5219%]
2067	82.92210934%	[81.2391%, 84.4830%]
